,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS,indSNPs_r01_100kb,indSNPs_r01_10kb,indSNPs_r03_100kb,indSNPs_r03_10kb,indSNPs_r05_100kb,indSNPs_r05_10kb
0,1.6930361612932412,1.3763549186892288,1.4190935046395432,1.1839004187666062,2.7095517253484047,2.2138238909304704,3.021811248355395,1.3558069817240177,0.0,0.9322746726847411,1.0,1.152992177599091,0.20539857740190084,2.971851701874964,3.9359046116180565,2.608827584170742,1.191329875000512,0.22148429513735704,0.3114654455872972,0.23873995521712044,0.269519209533229,0.24005105831616602,0.27579120687077713
1,1.5204767063921993,1.231202328064538,1.027338556505223,1.0831870917422248,2.0483046097800197,1.7411366692260828,1.7260304420498596,1.2971198568872986,0.0,0.9687770865562907,1.0,1.1407367870225014,0.29955647226940607,1.8320362025397996,1.736188581888413,1.7265693793843928,1.0894004020199048,0.4972748357170468,0.501290195372442,0.47645965421536424,0.4831018784680967,0.46410512436473494,0.4570317424299725
2,1.1415771635158543,1.183764409893934,1.4175757575757575,1.1176368922958053,1.230297185938459,1.320965228236918,1.214371008774207,1.2985071508518842,0.0,0.9120097753186933,1.0,1.2432462730546763,0.284093861232477,1.4466283046900905,1.3836866833196564,1.3413427764476493,1.075259353176348,0.4776932792303765,0.5419724413883361,0.5216851026769831,0.5035615985761066,0.49957149836742215,0.5460729102582303
3,1.1697642539730362,1.1818142214097593,1.1952109328579916,1.1033691872877738,1.0662575611466645,1.2196771596181126,1.1102820651649892,1.2240407909463997,0.19456922162804513,0.9633906077310139,1.0,1.168096038415366,0.47348976872079496,1.1552458262572525,0.8268371644227214,1.069241813225412,1.1900557254015809,0.6184870878456454,0.6875020784277966,0.6508642709589026,0.67307738423539,0.6144729429919293,0.6493840013881659
4,1.2375847400303635,1.0489079396232788,0.7211431281868848,0.9950256528872856,1.063981664538027,0.9601827849589513,0.7270673809203095,1.0960343501030005,0.1941539191272382,1.0702854958673722,1.0,1.1493006338074183,0.5984735497207343,0.8483366074330656,0.6398519907638205,0.8336816530670054,1.1722420727638552,0.6874135887548737,0.8062158728051817,0.7238423882343341,0.78109328130625,0.7128624033000659,0.7216340356941598
5,0.8442582886534369,1.000791333272219,1.0822922228154475,1.0082189908356831,0.9007728462272325,0.7795116421666592,0.5819644514018837,0.9850988961869405,0.19425757845405467,1.122155459619058,1.0,1.0846708870414157,0.7406124892840481,0.6468597679251153,0.4043328060330119,0.7155124025565991,1.0085900167316775,0.8584706769297638,0.9268917269694829,0.8680825253656864,0.9208879439846284,0.8329481218641872,0.8791935914861136
6,0.7755597253935598,0.8507371187357785,0.8899352000475594,0.9358277709625598,0.16412739345139418,0.5869406027306501,0.597095912653269,0.7823151293441337,0.5005885500267522,1.150261238187274,1.0,0.9872832137670478,0.9001119038335924,0.5179093597399081,0.5571474587144292,0.571334308341525,1.010748582845603,0.9307425302004942,1.0292944107872037,0.9693621375890437,1.052557887948627,0.9646888682492581,1.0533525044810716
7,0.5352684788581837,0.7835567563299595,0.7222994239562919,0.8904627294459697,0.5738318248328675,0.506169664129251,0.37451991896165354,0.7349622761115185,1.583502583288794,0.956456529599474,1.0,0.8033511709333653,1.3408373194044247,0.2775219543384915,0.21924771722113415,0.3983573996541786,0.8681616256171228,1.6936483593810852,1.4093783220318354,1.4798006684369223,1.4102155017566789,1.6976352681026565,1.499668647424568
8,0.5769098305798486,0.677578568052008,0.9157857269976863,0.8626049450634965,0.1637768811322241,0.4592798324117073,0.45725778324433713,0.6319502352897354,4.8841905439876605,1.0259707059374243,1.0,0.7193080619327282,2.284868318003978,0.23273261491485628,0.18531920276513048,0.40558457043315244,0.8061079300393332,2.203910100422025,2.149386761458963,2.261975037524303,2.1752866568717977,2.1945938540134273,2.1562345623597983
9,0.5068255687973998,0.6662518927184684,0.6108499525166191,0.82030835310303,0.0819321843912008,0.2150071915993468,0.19409177661604846,0.5950944146292984,2.4433998100664764,0.8982039213104681,1.0,0.5516009070294784,2.869435681738521,0.07533606814182353,0.11799339876911547,0.3330632727415569,0.5886584628458433,1.8082721298801703,1.634206036914161,1.806576188899923,1.7282098126642222,1.77657445455748,1.7593264923648404
